Features,Num Features,Accuracy,Within 1 Lane
AADT only,1,43.156726768377254,87.64678687008785
AADT + Length,2,51.8206195099399,87.23809523809524
AADT + District,2,44.46971798428109,87.80952380952381
AADT + Length + District,3,54.098936662043464,88.0499306518724
All Features,4,54.97919556171983,87.82246879334258
